                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.89945,                0.48421,                 1.0428,                0.96272,                0.47645,                 1.0298,                0.94437,                0.91561,                 0.9493,                0.67758,                 1.0425,                0.45411,                 1.0287,                 1.0684,                0.40487,                 1.0155,             0.00028475,             0.00028475,             0.00028475
                     81,                0.89897,                0.48492,                 1.0336,                0.96623,                0.47481,                 1.0225,                0.95372,                0.87874,                0.95158,                0.68706,                 1.0178,                0.44314,                 1.0143,                  1.042,                0.39524,                 1.0006,             0.00027237,             0.00027237,             0.00027237
                     82,                0.91089,                0.48334,                 1.0379,                0.97458,                0.46818,                 1.0245,                0.96739,                0.88091,                0.95815,                0.68158,                 1.0366,                0.44717,                 1.0157,                 1.0574,                0.40841,                 1.0007,                0.00026,                0.00026,                0.00026
                     83,                0.89238,                0.47417,                 1.0302,                0.94832,                0.46378,                 1.0175,                0.91381,                0.91238,                0.94887,                0.68039,                 1.0195,                0.44181,                  1.013,                 1.0518,                0.40549,                 1.0025,             0.00024762,             0.00024762,             0.00024762
                     84,                0.88515,                0.48359,                 1.0321,                0.94516,                0.47609,                 1.0191,                0.92646,                0.92026,                0.94394,                0.67843,                 1.0288,                0.44444,                 1.0155,                 1.0553,                0.41758,                 1.0061,             0.00023525,             0.00023525,             0.00023525
                     85,                0.87619,                 0.4639,                  1.025,                0.94263,                0.43651,                 1.0149,                0.94681,                0.87119,                0.94521,                0.67818,                 1.0318,                0.44658,                  1.019,                 1.0609,                0.42198,                 1.0078,             0.00022288,             0.00022288,             0.00022288
                     86,                0.88379,                0.46683,                 1.0302,                0.94219,                0.44968,                 1.0124,                0.95493,                0.90229,                0.94732,                 0.6795,                 1.0425,                0.44164,                 1.0249,                  1.063,                0.41722,                 1.0098,              0.0002105,              0.0002105,              0.0002105
                     87,                0.87334,                0.46459,                   1.03,                0.93655,                0.45733,                 1.0172,                0.94543,                0.89615,                0.94305,                0.67804,                 1.0314,                0.44956,                 1.0188,                 1.0559,                 0.4166,                 1.0081,             0.00019813,             0.00019813,             0.00019813
                     88,                0.86197,                0.45731,                 1.0198,                 0.9267,                0.44191,                 1.0115,                0.92846,                0.92194,                0.94595,                0.67782,                 1.0395,                0.45105,                 1.0252,                 1.0662,                0.41787,                 1.0127,             0.00018575,             0.00018575,             0.00018575
                     89,                0.86246,                0.44956,                 1.0198,                0.92549,                0.43781,                 1.0053,                0.97067,                 0.8882,                0.95003,                0.68181,                 1.0328,                0.44209,                 1.0201,                 1.0604,                0.41805,                 1.0104,             0.00017338,             0.00017338,             0.00017338
                     90,                0.87133,                0.46819,                 1.0265,                0.92887,                 0.4598,                 1.0115,                0.96508,                0.89046,                 0.9422,                0.67292,                  1.041,                0.44103,                 1.0252,                 1.0707,                0.42256,                 1.0153,               0.000161,               0.000161,               0.000161
                     91,                0.78326,                0.36763,                0.98017,                0.81349,                 0.3089,                0.97298,                0.95469,                0.89457,                0.94415,                0.67454,                 1.0451,                0.44982,                  1.028,                 1.0834,                0.41799,                 1.0216,             0.00014862,             0.00014862,             0.00014862
                     92,                0.77941,                0.36053,                0.97237,                0.81117,                0.29012,                0.96559,                0.93602,                0.92003,                0.94705,                0.67269,                 1.0383,                0.44776,                 1.0243,                 1.0671,                0.41311,                 1.0139,             0.00013625,             0.00013625,             0.00013625
                     93,                0.78008,                0.35805,                0.97943,                0.80899,                0.29389,                0.97056,                0.95317,                0.89814,                0.95109,                0.68163,                 1.0346,                0.43869,                 1.0208,                 1.0619,                0.39659,                 1.0106,             0.00012387,             0.00012387,             0.00012387
                     94,                0.75889,                0.35189,                0.97242,                0.79075,                0.28679,                0.96362,                0.93599,                0.90503,                0.94902,                 0.6816,                  1.043,                0.44763,                 1.0259,                 1.0713,                0.41072,                 1.0124,              0.0001115,              0.0001115,              0.0001115
                     95,                0.75201,                0.34979,                0.96788,                0.78188,                0.28112,                0.96229,                0.95019,                0.92506,                0.95188,                0.68455,                  1.034,                0.44123,                 1.0269,                 1.0642,                0.39612,                 1.0153,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                 0.7496,                0.34779,                0.96429,                0.77412,                0.28467,                0.95545,                0.94609,                0.92099,                0.94861,                0.67946,                 1.0384,                0.43726,                  1.024,                  1.063,                0.39895,                 1.0126,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.74775,                0.34427,                 0.9666,                0.77723,                0.29034,                0.96093,                0.91614,                0.93062,                0.95268,                0.68345,                 1.0427,                0.43563,                 1.0243,                 1.0624,                0.40205,                 1.0134,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.73707,                0.34078,                0.95913,                 0.7653,                0.27508,                0.94938,                0.95089,                0.89815,                0.95098,                0.68222,                 1.0373,                0.43461,                 1.0218,                 1.0649,                0.40064,                 1.0117,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.73231,                0.34024,                0.96167,                 0.7612,                0.28224,                0.95506,                0.95356,                0.91756,                0.94998,                0.67945,                  1.038,                0.43662,                  1.027,                 1.0661,                0.39705,                 1.0162,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.72446,                0.33551,                0.95498,                0.75488,                0.26742,                0.95154,                0.93331,                  0.916,                0.94857,                0.67949,                 1.0352,                0.43614,                 1.0265,                 1.0593,                0.40484,                 1.0142,              3.725e-05,              3.725e-05,              3.725e-05
